epsilon,N,k2,k1,data_duplication,store_complexity
0.05,5000,141,4,35.46099290780142,1903.9535234646146
0.05,5000,140,4,35.714285714285715,1931.1224489795918
0.05,5000,139,4,35.97122302158273,1958.878940013457
0.05,5000,138,4,36.231884057971016,1987.2400756143668
0.05,5000,137,4,36.496350364963504,2016.2235601257391
0.05,5000,136,4,36.76470588235294,2045.847750865052
0.05,5000,135,4,37.03703703703704,2076.1316872427988
0.05,5000,134,4,37.3134328358209,2107.095121407886
0.05,5000,133,4,37.59398496240601,2138.7585505116176
0.05,5000,132,4,37.878787878787875,2171.1432506887054
0.05,5000,131,4,38.16793893129771,2204.271312860556
0.05,5000,130,4,38.46153846153846,2238.1656804733725
0.05,5000,129,4,38.75968992248062,2272.850189291509
0.05,5000,128,4,39.0625,2308.349609375
0.05,5000,127,4,39.37007874015748,2344.6896893793787
0.05,5000,126,4,39.682539682539684,2381.8972033257746
0.05,5000,125,4,40.0,2420.0
0.05,5000,124,4,40.32258064516129,2459.0270551508843
0.05,5000,123,4,40.65040650406504,2499.008526670633
0.05,5000,122,4,40.98360655737705,2539.975812953507
0.05,5000,121,4,41.32231404958678,2581.9616146438084
0.05,5000,120,4,41.666666666666664,2625.0
0.05,5000,119,4,42.016806722689076,2669.1264741190594
0.05,5000,118,4,42.3728813559322,2714.3780522838265
0.05,5000,117,4,42.73504273504273,2760.793337716415
0.05,5000,116,4,43.10344827586207,2808.4126040428064
0.05,5000,115,4,43.47826086956522,2857.2778827977313
0.05,5000,114,4,43.85964912280702,2907.4330563250232
0.05,5000,113,4,44.24778761061947,2958.9239564570444
0.05,5000,112,4,44.642857142857146,3011.798469387755
0.05,5000,111,4,45.04504504504504,3066.1066471877284
0.05,5000,110,4,45.45454545454545,3121.900826446281
0.05,5000,109,4,45.87155963302752,3179.235754566114
0.05,5000,108,4,46.2962962962963,3238.1687242798357
0.05,5000,107,4,46.728971962616825,3298.759717005852
0.05,5000,106,4,47.16981132075472,3361.0715557137773
0.05,5000,105,4,47.61904761904762,3425.170068027211
0.05,5000,104,4,48.07692307692308,3491.1242603550295
0.05,5000,103,4,48.54368932038835,3559.006503911773
0.05,5000,102,4,49.01960784313726,3628.8927335640137
0.05,5000,101,4,49.504950495049506,3700.862660523478
0.05,5000,100,4,50.0,3775.0
0.05,5000,99,4,50.505050505050505,3851.3927150290788
0.05,5000,98,4,51.02040816326531,3930.1332778009164
0.05,5000,97,4,51.54639175257732,4011.3189499415453
0.05,5000,96,4,52.083333333333336,4095.052083333333
0.05,5000,95,4,52.63157894736842,4181.440443213296
0.05,5000,94,4,53.191489361702125,4270.597555454957
0.05,5000,93,4,53.763440860215056,4362.64308012487
0.05,5000,92,4,54.34782608695652,4457.703213610585
0.05,5000,91,5,54.94505494505494,3644.72889747615
0.05,5000,90,5,55.55555555555556,3725.925925925926
0.05,5000,89,5,56.17977528089887,3809.8724908471154
0.05,5000,88,5,56.81818181818182,3896.6942148760327
0.05,5000,87,5,57.47126436781609,3986.5239793896158
0.05,5000,86,5,58.13953488372093,4079.502433747972
0.05,5000,85,5,58.8235294117647,4175.778546712803
0.05,5000,84,5,59.523809523809526,4275.510204081633
0.05,5000,83,5,60.24096385542169,4378.864857018435
0.05,5000,82,5,60.97560975609756,4486.020226055919
0.05,5000,81,5,61.72839506172839,4597.165066300869
0.05,5000,80,5,62.5,4712.5
0.05,5000,79,5,63.29113924050633,4832.238423329595
0.05,5000,78,5,64.1025641025641,4956.607495069034
0.05,5000,77,5,64.93506493506493,5085.849215719345
0.05,5000,76,5,65.78947368421052,5220.2216066482
0.05,5000,75,5,66.66666666666667,5360.0
0.05,5000,74,5,67.56756756756756,5505.478451424397
0.05,5000,73,5,68.4931506849315,5656.971289172452
0.05,5000,72,5,69.44444444444444,5814.814814814815
0.05,5000,71,5,70.4225352112676,5979.369172783177
0.05,5000,70,5,71.42857142857143,6151.0204081632655
0.05,5000,69,5,72.46376811594203,6330.182734719597
0.05,5000,68,5,73.52941176470588,6517.301038062284
0.05,5000,67,5,74.6268656716418,6712.853642236578
0.05,5000,66,5,75.75757575757575,6917.355371900826
0.05,5000,65,5,76.92307692307692,7131.360946745562
0.05,5000,64,5,78.125,7355.46875
0.05,5000,63,5,79.36507936507937,7590.325018896448
0.05,5000,62,5,80.64516129032258,7836.628511966701
0.05,5000,61,5,81.9672131147541,8095.135716205321
0.05,5000,60,5,83.33333333333333,8366.666666666668
0.05,5000,59,5,84.7457627118644,8652.111462223498
0.05,5000,58,5,86.20689655172414,8952.437574316291
0.05,5000,57,5,87.71929824561404,9268.69806094183
0.05,5000,56,5,89.28571428571429,9602.040816326531
0.05,5000,55,5,90.9090909090909,9953.719008264463
0.05,5000,54,5,92.5925925925926,10325.102880658436
0.05,5000,53,5,94.33962264150944,10717.693129227484
0.05,5000,52,5,96.15384615384616,11133.136094674557
0.05,5000,51,5,98.03921568627452,11573.241061130335
0.05,5000,50,5,100.0,12040.0
0.05,5000,49,5,102.04081632653062,12535.61016243232
0.05,5000,48,6,104.16666666666667,10885.416666666668
0.05,5000,47,6,106.38297872340425,11352.799154972085
0.05,5000,46,6,108.69565217391305,11850.97668557026
0.05,5000,45,6,111.11111111111111,12382.716049382716
0.05,5000,44,6,113.63636363636364,12951.101928374655
0.05,5000,43,6,116.27906976744185,13559.581755904093
0.05,5000,42,6,119.04761904761905,14212.01814058957
0.05,5000,41,6,121.95121951219512,14912.750347015664
0.05,5000,40,6,125.0,15666.666666666666
0.05,5000,39,6,128.2051282051282,16479.289940828403
0.05,5000,38,6,131.57894736842104,17356.879039704523
0.05,5000,37,6,135.13513513513513,18306.54979303628
0.05,5000,36,6,138.88888888888889,19336.41975308642
0.05,5000,35,6,142.85714285714286,20455.78231292517
0.05,5000,34,6,147.05882352941177,21675.317185697808
0.05,5000,33,6,151.5151515151515,23007.34618916437
0.05,5000,32,6,156.25,24466.145833333332
0.05,5000,31,6,161.29032258064515,26068.33159902879
0.05,5000,30,6,166.66666666666666,27833.333333333332
0.05,5000,29,6,172.41379310344828,29783.987316686485
0.05,5000,28,6,178.57142857142858,31947.278911564626
0.05,5000,27,6,185.1851851851852,34355.281207133055
0.05,5000,26,6,192.30769230769232,37046.351084812624
0.05,5000,25,6,200.0,40066.666666666664
0.05,5000,24,6,208.33333333333334,43472.222222222226
0.05,5000,23,6,217.3913043478261,47331.4429741651
0.05,5000,22,6,227.27272727272728,51728.650137741046
0.05,5000,21,6,238.0952380952381,56768.7074829932
0.05,5000,20,6,250.0,62583.333333333336
0.05,5000,19,6,263.1578947368421,69339.79686057249
0.05,5000,18,6,277.77777777777777,77253.08641975309
0.05,5000,17,7,294.11764705882354,74231.3395946614
0.05,5000,16,7,312.5,83794.64285714286
0.05,5000,15,7,333.3333333333333,95333.33333333333
0.05,5000,14,7,357.14285714285717,109431.48688046646
0.05,5000,13,7,384.61538461538464,126906.1707523246
0.05,5000,12,7,416.6666666666667,148928.57142857145
0.05,5000,11,7,454.54545454545456,177225.50177095633
0.05,5000,10,7,500.0,214428.57142857142
0.05,5000,9,7,555.5555555555555,264708.99470899475
0.05,5000,8,7,625.0,335000.0
0.05,5000,7,7,714.2857142857143,437521.8658892128
0.05,5000,6,7,833.3333333333334,595476.1904761905
0.05,5000,5,7,1000.0,857428.5714285715
0.05,5000,4,7,1250.0,1339642.8571428573
0.05,5000,3,7,1666.6666666666667,2381428.5714285714
0.05,5000,2,7,2500.0,5357857.142857143
0.05,5000,1,7,5000.0,21430000.0
